latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
31.752,74.6,316.2,1,1,10-10-2019,815,Aqua,MODIS,63,6.0NRT,301,8,D
31.75,74.589,312.5,1,1,10-10-2019,815,Aqua,MODIS,46,6.0NRT,300.6,5,D
31.839,74.901,313.3,1,1,10-10-2019,815,Aqua,MODIS,43,6.0NRT,300.3,5.2,D
31.794,74.575,312.3,1,1,10-10-2019,815,Aqua,MODIS,50,6.0NRT,300.3,4.4,D
31.818,74.678,314.1,1,1,10-10-2019,815,Aqua,MODIS,59,6.0NRT,300.5,5.6,D
31.879,74.455,311.9,1,1,10-10-2019,815,Aqua,MODIS,49,6.0NRT,300.4,5.6,D
32.21,73.806,326.7,1,1,10-10-2019,815,Aqua,MODIS,78,6.0NRT,302.1,18,D
32.38,73.641,312.5,1,1,10-10-2019,815,Aqua,MODIS,38,6.0NRT,300.4,4.9,D
34.164,74.67,309,1,1,10-10-2019,815,Aqua,MODIS,57,6.0NRT,297.8,4.3,D
32.212,73.628,313.7,1,1,10-10-2019,815,Aqua,MODIS,47,6.0NRT,300.6,6.1,D
29.532,77.046,316.5,1.1,1.1,10-10-2019,815,Aqua,MODIS,58,6.0NRT,302.1,6.8,D
29.437,75.913,315.4,1,1,10-10-2019,815,Aqua,MODIS,33,6.0NRT,303,4.4,D
29.607,76.791,320.5,1.1,1,10-10-2019,815,Aqua,MODIS,65,6.0NRT,302.6,10.8,D
29.599,76.725,331.5,1.1,1,10-10-2019,815,Aqua,MODIS,83,6.0NRT,303.4,25.7,D
29.621,76.463,317.8,1.1,1,10-10-2019,815,Aqua,MODIS,64,6.0NRT,303.3,9.6,D
29.676,76.694,321,1.1,1,10-10-2019,815,Aqua,MODIS,73,6.0NRT,300.2,12.3,D
29.704,76.838,318.1,1.1,1,10-10-2019,815,Aqua,MODIS,69,6.0NRT,302.6,8.9,D
29.591,75.895,314.1,1,1,10-10-2019,815,Aqua,MODIS,45,6.0NRT,302.8,5,D
29.752,76.625,312.9,1.1,1,10-10-2019,815,Aqua,MODIS,53,6.0NRT,298.9,6,D
29.687,75.85,316.3,1,1,10-10-2019,815,Aqua,MODIS,60,6.0NRT,301.9,7,D
29.676,75.766,316.4,1,1,10-10-2019,815,Aqua,MODIS,63,6.0NRT,300.9,8.2,D
29.867,77.094,313.6,1.1,1.1,10-10-2019,815,Aqua,MODIS,60,6.0NRT,301.2,5.2,D
29.705,75.782,323.1,1,1,10-10-2019,815,Aqua,MODIS,75,6.0NRT,301.2,14.7,D
29.734,75.728,313.6,1,1,10-10-2019,815,Aqua,MODIS,51,6.0NRT,299.8,7.2,D
