Year,Month,Day,Hour,PM 2.5
2019,10,17,23,106.3
2019,10,18,0,107.4
2019,10,18,2,105.1
2019,10,18,3,107.6
2019,10,18,4,114.6
2019,10,18,5,112.8
2019,10,18,6,116.6
2019,10,18,7,109.4
2019,10,18,8,96.8
2019,10,18,9,79.3
2019,10,18,10,63
2019,10,18,11,58.8
2019,10,18,12,64.1
2019,10,18,13,67.3
2019,10,18,14,73.8
2019,10,18,15,86.5
2019,10,18,16,51.7
2019,10,18,18,31.2
2019,10,18,19,26.1
2019,10,18,20,28.4
2019,10,18,21,32.2
2019,10,18,22,43.4
2019,10,18,23,42.4
2019,10,19,0,48.4
2019,10,19,1,49.2
2019,10,19,2,53.9
2019,10,19,3,62.5
2019,10,19,4,72.2
2019,10,19,5,103.3
2019,10,19,6,116.8
2019,10,19,7,138.8
2019,10,19,8,115.6
2019,10,19,9,94.7
2019,10,19,10,90.9
2019,10,19,11,82.9
2019,10,19,12,72.4
2019,10,19,13,72.1
2019,10,19,14,75
2019,10,19,15,93
2019,10,19,16,109.9
2019,10,19,17,118.6
2019,10,19,18,121.1
2019,10,19,19,122.9
2019,10,19,20,112.5
2019,10,19,21,110.1
2019,10,19,22,116.7
2019,10,19,23,131.1
2019,10,20,0,134.8
2019,10,20,1,131.2
2019,10,20,2,136.8
2019,10,20,3,134.4
2019,10,20,4,144.4
2019,10,20,5,152.5
2019,10,20,6,135.6
2019,10,20,7,101.9
2019,10,20,8,78.5
2019,10,20,9,51
2019,10,20,10,43.6
2019,10,20,11,38.7
2019,10,20,12,33.9
2019,10,20,13,38
2019,10,20,14,46.8
2019,10,20,15,62.8
2019,10,20,16,78
2019,10,20,17,95.1
2019,10,20,18,107.3
2019,10,20,19,119.7
2019,10,20,20,129.8
2019,10,20,21,134.9
2019,10,20,22,136.2
2019,10,20,23,134.1
2019,10,21,0,131.7
2019,10,21,1,125
2019,10,21,2,142
2019,10,21,3,144.7
2019,10,21,4,159.4
2019,10,21,5,157.7
2019,10,21,6,170.8
2019,10,21,7,159.2
2019,10,21,8,147.8
2019,10,21,9,124.8
2019,10,21,10,85.1
2019,10,21,11,57
2019,10,21,12,52.2
2019,10,21,13,53.3
2019,10,21,14,51.7
2019,10,21,15,68.6
2019,10,21,16,78.8
2019,10,21,17,87.9
2019,10,21,18,100.6
2019,10,21,19,107.7
2019,10,21,20,124
2019,10,21,21,127.2
2019,10,21,22,122.3
2019,10,21,23,115.5
2019,10,22,0,116.3
2019,10,22,1,112.7
2019,10,22,2,114
2019,10,22,3,114.1
2019,10,22,4,126.5
2019,10,22,5,130.3
2019,10,22,6,115.6
2019,10,22,7,94.4
2019,10,22,8,74.2
2019,10,22,9,55.5
2019,10,22,10,45.1
2019,10,22,11,37
2019,10,22,12,39.7
2019,10,22,13,41.2
2019,10,22,14,49.3
2019,10,22,15,70.5
2019,10,22,16,88.3
2019,10,22,17,118.2
2019,10,22,18,123.3
2019,10,22,19,127.9
2019,10,22,20,120.1
2019,10,22,21,127.5
2019,10,22,22,132.6
2019,10,22,23,138.7
2019,10,23,0,140.4
2019,10,23,1,138
2019,10,23,2,134.9
2019,10,23,3,133.6
2019,10,23,4,137.2
2019,10,23,5,152.1
2019,10,23,6,153.6
2019,10,23,7,140.5
2019,10,23,8,113.1
2019,10,23,9,104.7
2019,10,23,10,87.9
2019,10,23,11,79.3
2019,10,23,12,69.2
2019,10,23,13,66.3
2019,10,23,14,80.3
2019,10,23,15,99.2
2019,10,23,16,106.5
2019,10,23,17,131.2
2019,10,23,18,131.8
2019,10,23,19,127
2019,10,23,20,170.7
2019,10,23,21,168.6
2019,10,23,22,162.7
2019,10,23,23,167.4
2019,10,24,0,169.3
2019,10,24,1,165.4
2019,10,24,2,190.2
2019,10,24,3,202
2019,10,24,4,206.4
2019,10,24,5,211.6
2019,10,24,6,222.3
2019,10,24,7,189
2019,10,24,8,148.2
2019,10,24,10,114.7
2019,10,24,11,98
2019,10,24,12,96.9
2019,10,24,13,98.8
2019,10,24,14,113
2019,10,24,15,132
2019,10,24,16,164.5
2019,10,24,17,182.5
2019,10,24,18,194.3
2019,10,24,19,193.3
2019,10,24,20,180.2
2019,10,24,21,158.3
2019,10,24,22,143.5
2019,10,24,23,122.2
2019,10,25,0,114.8
2019,10,25,1,114.3
2019,10,25,2,115.1
2019,10,25,3,128.3
2019,10,25,4,143.5
2019,10,25,5,135.3
2019,10,25,6,110.1
2019,10,25,7,103
2019,10,25,8,95.9
2019,10,25,9,91.5
2019,10,25,10,86.9
2019,10,25,11,83.8
2019,10,25,12,79.6
2019,10,25,13,84
2019,10,25,14,89
2019,10,25,15,108
2019,10,25,16,127.7
2019,10,25,17,137.9
2019,10,25,18,157.2
2019,10,25,19,164.9
2019,10,25,20,168.3
2019,10,25,21,159.4
2019,10,25,22,148.7
2019,10,25,23,149.7
2019,10,26,0,139.1
2019,10,26,1,120.1
2019,10,26,2,113.9
2019,10,26,3,122.7
2019,10,26,4,133.6
2019,10,26,5,148.5
2019,10,26,6,131.6
2019,10,26,7,119.1
2019,10,26,8,101
2019,10,26,9,85.9
2019,10,26,10,88.8
2019,10,26,11,93.4
2019,10,26,12,100.6
2019,10,26,13,109.2
2019,10,26,14,118.1
2019,10,26,15,143.6
2019,10,26,16,183.5
2019,10,26,17,206.2
2019,10,26,18,223.8
2019,10,26,19,227.2
2019,10,26,20,238
2019,10,26,21,238.6
2019,10,26,22,233.3
2019,10,26,23,221.7
2019,10,27,0,216.7
2019,10,27,1,210.3
2019,10,27,2,202.7
2019,10,27,3,187
2019,10,27,4,193.4
2019,10,27,5,209.2
2019,10,27,6,210.4
2019,10,27,7,211.8
2019,10,27,8,193.9
2019,10,27,9,142.3
2019,10,27,10,97
2019,10,27,11,71.9
2019,10,27,12,61.1
2019,10,27,13,61.1
2019,10,27,14,61.4
2019,10,27,15,61.5
2019,10,29,1,269.6
2019,10,29,2,239.8
2019,10,29,3,239.1
2019,10,29,4,239
2019,10,29,5,233.6
2019,10,29,6,218
2019,10,29,7,236.5
2019,10,29,8,255.7
2019,10,29,9,269.8
2019,10,29,10,282.4
